candidate,direction,phase,lane,outcome,restored_generation,settled_generation,settled_period,population_at_stop
sl4x4_002,SE,1,-2,changed_periodic,,43,2,3
sl4x4_002,SE,1,-1,changed_periodic,,41,2,3
sl4x4_002,SE,1,0,changed_periodic,,39,2,3
sl4x4_002,SE,1,1,changed_periodic,,37,2,3
sl4x4_002,SE,1,2,unresolved_by_horizon,,,,28
sl4x4_002,SE,1,3,unresolved_by_horizon,,,,113
sl4x4_002,SE,1,4,changed_periodic,,43,1,4
sl4x4_002,SE,2,-5,changed_periodic,,60,1,4
sl4x4_002,SE,2,-4,unresolved_by_horizon,,,,141
sl4x4_002,SE,2,-3,unresolved_by_horizon,,,,28
sl4x4_002,SE,2,-2,changed_periodic,,42,2,3
sl4x4_002,SE,2,-1,changed_periodic,,40,2,3
sl4x4_002,SE,2,0,changed_periodic,,38,2,3
sl4x4_002,SE,2,1,changed_periodic,,36,2,3
sl4x4_002,SE,2,2,unresolved_by_horizon,,,,28
sl4x4_002,SE,2,3,unresolved_by_horizon,,,,111
sl4x4_002,SE,2,4,changed_periodic,,42,1,4
sl4x4_002,SE,3,-5,changed_periodic,,59,1,4
sl4x4_002,SE,3,-4,unresolved_by_horizon,,,,144
sl4x4_002,SE,3,-3,unresolved_by_horizon,,,,28
sl4x4_002,SE,3,-2,changed_periodic,,41,2,3
sl4x4_002,SE,3,-1,changed_periodic,,39,2,3
sl4x4_002,SE,3,0,changed_periodic,,37,2,3
sl4x4_002,SE,3,1,changed_periodic,,35,2,3
sl4x4_002,SE,3,2,unresolved_by_horizon,,,,28
sl4x4_002,SE,3,3,unresolved_by_horizon,,,,120
sl4x4_002,SE,3,4,changed_periodic,,41,1,4
sl4x4_002,SW,0,-6,changed_periodic,,32,1,0
sl4x4_002,SW,0,-5,unresolved_by_horizon,,,,9
sl4x4_002,SW,0,-4,changed_periodic,,35,2,3
sl4x4_002,SW,0,-3,unresolved_by_horizon,,,,32
sl4x4_002,SW,0,-2,changed_periodic,,33,1,0
sl4x4_002,SW,0,-1,changed_periodic,,39,1,0
sl4x4_002,SW,0,0,unresolved_by_horizon,,,,5
sl4x4_002,SW,0,1,changed_periodic,,43,1,0
sl4x4_002,SW,0,2,changed_periodic,,63,1,24
sl4x4_002,SW,0,3,changed_periodic,,222,2,55
sl4x4_002,SW,0,4,changed_periodic,,79,1,0
sl4x4_002,SW,1,-6,changed_periodic,,31,1,0
sl4x4_002,SW,1,-5,unresolved_by_horizon,,,,9
sl4x4_002,SW,1,-4,changed_periodic,,34,2,3
sl4x4_002,SW,1,-3,unresolved_by_horizon,,,,32
sl4x4_002,SW,1,-2,changed_periodic,,32,1,0
sl4x4_002,SW,1,-1,changed_periodic,,38,1,0
sl4x4_002,SW,1,0,unresolved_by_horizon,,,,5
sl4x4_002,SW,1,1,changed_periodic,,42,1,0
sl4x4_002,SW,1,2,changed_periodic,,62,1,24
sl4x4_002,SW,1,3,changed_periodic,,221,2,55
sl4x4_002,SW,1,4,changed_periodic,,78,1,0
sl4x4_002,SW,2,-6,changed_periodic,,30,1,0
sl4x4_002,SW,2,-5,unresolved_by_horizon,,,,9
sl4x4_002,SW,2,-4,changed_periodic,,33,2,3
sl4x4_002,SW,2,-3,unresolved_by_horizon,,,,32
sl4x4_002,SW,2,-2,changed_periodic,,31,1,0
sl4x4_002,SW,2,-1,changed_periodic,,37,1,0
sl4x4_002,SW,2,0,unresolved_by_horizon,,,,5
sl4x4_002,SW,2,1,changed_periodic,,41,1,0
sl4x4_002,SW,2,2,changed_periodic,,61,1,24
sl4x4_002,SW,2,3,changed_periodic,,220,2,55
sl4x4_002,SW,2,4,changed_periodic,,77,1,0
sl4x4_002,SW,3,-6,changed_periodic,,29,1,0
sl4x4_002,SW,3,-5,unresolved_by_horizon,,,,9
sl4x4_002,SW,3,-4,changed_periodic,,32,2,3
sl4x4_002,SW,3,-3,unresolved_by_horizon,,,,32
sl4x4_002,SW,3,-2,changed_periodic,,30,1,0
sl4x4_002,SW,3,-1,changed_periodic,,36,1,0
sl4x4_002,SW,3,0,unresolved_by_horizon,,,,5
sl4x4_002,SW,3,1,changed_periodic,,40,1,0
sl4x4_002,SW,3,2,changed_periodic,,60,1,24
sl4x4_002,SW,3,3,changed_periodic,,219,2,55
